pair,product,picture,calories,fat,saturated,carbohydrates,sugars,fibre,protein,salt
1,Coca-Cola,coke_1.jpeg,42,0,0,10.6,10.6,0,0,0
1,Coca-Cola Zero,coke_2.jpeg,0.2,0,0,0,0,0,0,0.2
2,Estathè Pesca,tea_1.jpeg,37,0,0,8.9,8.9,0,0.1,0
2,Estathè Pesca Zero,tea_2.jpeg,3,0,0,1.5,0,0,0,0
3,San Benedetto Limone,lemonade_1.jpeg,22,0,0,4.8,4.7,0,0,0.03
3,San Benedetto Limone Zero,lemonade_2.jpeg,4,0,0,0.5,0.4,0,0,0.05
4,Skipper Succo arancia,juice_1.jpeg,43,0,0,10.5,9.8,0,0,0
4,Skipper Succo arancia senza zuccheri aggiunti,juice_2.jpeg,29,0,0,6.9,5.5,0,0,0
5,Oransoda Aranciata,soda_1.jpeg,40,0,0,10,9.5,0,0,0
5,Oransoda Aranciata Zero,soda_2.jpeg,10,0,0,2,2,0,0,0.001
6,Yogurt activia fibre bianco con cereali,yogurt_1.jpeg,95,3.2,2.1,12.1,10.6,2.3,4.1,0.12
6,Yogurt activia 0% grassi bianco con cereali,yogurt_2.jpeg,54,0.1,0,8.5,7.6,1.3,5.2,0.17
7,Philadelphia Formaggio spalmabile original,cheese_1.jpeg,249,25,16,2.9,0.9,0.2,3.7,0.74
7,Philadelphia Formaggio benessere light,cheese_2.jpeg,159,13,8.4,4.4,4,0.4,6.2,0.73
8,Coop Patatine classiche,chips_1.jpeg,531,33,3.7,50,0,4.4,6.2,1
8,Coop Patatine al sale marino meno grassi,chips_2.jpeg,358,3.5,0.7,70,0.7,9.2,6.9,1.5
9,Osella Robiola,cheese2_1.jpeg,327,32,23,3.1,1.5,0,6.4,0.66
9,Osella Robiola leggera -30% grassi,cheese2_2.jpeg,249,22,15,3.8,2.2,0,8.3,0.69
10,Latte Trento UHT intero,milk_1.jpeg,64,3.6,2.5,4.8,4.8,0,3.2,0.13
10,Latte Trento UHT magro,milk_2.jpeg,35,0.2,0.1,5,5,0,3.4,0.13
11,Zuegg Confettura extra albicocche,jam_1.jpeg,193,0,0,47,43,1.38,0.28,0.064
11,Zuegg Preparazione albicocche zero zuccheri aggiunti,jam_2.jpeg,44,0.1,0,12,3.9,1.9,0.5,0.09
12,De Mori Grissini classici,snack_1.jpeg,424,10.51,2.59,67.69,2.9,4.62,12.45,1.75
12,De Mori Grissini senza grassi,snack_2.jpeg,376,0.5,0,75,4,3,13,1
